,date,target,x1,x2,x3,x4,x5,x6,x7,v,bitcoin,crypto
142,2021-12-19,46707.01,46848.78,46202.14,47665.43,48896.72,46612.63,46737.48,50098.34,26098292690,48,31
143,2021-12-20,46880.28,46707.01,46848.78,46202.14,47665.43,48896.72,46612.63,46737.48,25154053861,43,32
144,2021-12-21,48936.61,46880.28,46707.01,46848.78,46202.14,47665.43,48896.72,46612.63,30961902129,43,42
145,2021-12-22,48628.51,48936.61,46880.28,46707.01,46848.78,46202.14,47665.43,48896.72,27055803928,51,33
146,2021-12-23,50784.54,48628.51,48936.61,46880.28,46707.01,46848.78,46202.14,47665.43,24447979559,43,57
147,2021-12-24,50822.2,50784.54,48628.51,48936.61,46880.28,46707.01,46848.78,46202.14,28223878108,42,58
148,2021-12-25,50429.86,50822.2,50784.54,48628.51,48936.61,46880.28,46707.01,46848.78,24367912228,45,60
149,2021-12-26,50809.52,50429.86,50822.2,50784.54,48628.51,48936.61,46880.28,46707.01,19030650914,40,60
150,2021-12-27,50640.42,50809.52,50429.86,50822.2,50784.54,48628.51,48936.61,46880.28,20964372926,40,63
151,2021-12-28,47588.85,50640.42,50809.52,50429.86,50822.2,50784.54,48628.51,48936.61,24324345758,42,64
152,2021-12-29,46444.71,47588.85,50640.42,50809.52,50429.86,50822.2,50784.54,48628.51,33430376883,44,66
153,2021-12-30,47178.13,46444.71,47588.85,50640.42,50809.52,50429.86,50822.2,50784.54,30049226299,43,60
154,2021-12-31,46306.45,47178.13,46444.71,47588.85,50640.42,50809.52,50429.86,50822.2,26686491018,43,59
155,2022-01-01,47686.81,46306.45,47178.13,46444.71,47588.85,50640.42,50809.52,50429.86,36974172400,39,50
156,2022-01-02,47345.22,47686.81,46306.45,47178.13,46444.71,47588.85,50640.42,50809.52,24582667004,38,55
157,2022-01-03,46458.12,47345.22,47686.81,46306.45,47178.13,46444.71,47588.85,50640.42,27951569547,38,62
158,2022-01-04,45897.58,46458.12,47345.22,47686.81,46306.45,47178.13,46444.71,47588.85,33071628362,41,63
159,2022-01-05,43569.0,45897.58,46458.12,47345.22,47686.81,46306.45,47178.13,46444.71,42494677905,40,62
160,2022-01-06,43160.93,43569.0,45897.58,46458.12,47345.22,47686.81,46306.45,47178.13,36851084859,44,65
161,2022-01-07,41557.9,43160.93,43569.0,45897.58,46458.12,47345.22,47686.81,46306.45,30208048289,65,75
162,2022-01-08,41733.94,41557.9,43160.93,43569.0,45897.58,46458.12,47345.22,47686.81,84196607520,65,68
163,2022-01-09,41911.6,41733.94,41557.9,43160.93,43569.0,45897.58,46458.12,47345.22,28066355845,56,65
164,2022-01-10,41821.26,41911.6,41733.94,41557.9,43160.93,43569.0,45897.58,46458.12,21294384372,51,64
165,2022-01-11,42735.85,41821.26,41911.6,41733.94,41557.9,43160.93,43569.0,45897.58,32104232331,56,60
166,2022-01-12,43949.1,42735.85,41821.26,41911.6,41733.94,41557.9,43160.93,43569.0,26327648900,53,60
167,2022-01-13,42591.57,43949.1,42735.85,41821.26,41911.6,41733.94,41557.9,43160.93,33499938689,49,61
168,2022-01-14,43099.7,42591.57,43949.1,42735.85,41821.26,41911.6,41733.94,41557.9,47691135082,46,59
169,2022-01-15,43177.4,43099.7,42591.57,43949.1,42735.85,41821.26,41911.6,41733.94,23577403399,44,55
170,2022-01-16,43113.88,43177.4,43099.7,42591.57,43949.1,42735.85,41821.26,41911.6,18371348298,37,54
171,2022-01-17,42250.55,43113.88,43177.4,43099.7,42591.57,43949.1,42735.85,41821.26,17902097845,37,56
172,2022-01-18,42375.63,42250.55,43113.88,43177.4,43099.7,42591.57,43949.1,42735.85,21690904261,40,61
